1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-4.098873,4.1180267,7.345411,326.91998,-28.89,-24.49,-0.44289476,0.3289771,0.59301054,20.8125,8.625,-23.375,-4.0664,4.3122,7.8127,-0.1595,-0.1617,-0.3845,34.124527,108.834654,87.0,0.0,VIBRATE_MODE,Peace
-3.4380736,5.3342814,7.3549876,316.19998,-36.0,-22.84,-0.0649437,0.028745573,0.10007718,24.5,3.9375,-22.25,-3.8086,5.311,7.3114,-0.0808,-0.19739999,0.1304,34.124527,108.834654,87.0,0.0,VIBRATE_MODE,Peace
-3.8019924,4.8745947,8.073248,317.41,-34.969997,-22.039999,-0.17886133,0.27680922,0.03726278,23.875,4.6875,-23.125,-3.6806,5.2099,7.4484,0.1555,-0.225,-0.0047999998,34.124527,108.834654,88.0,0.0,VIBRATE_MODE,Peace
-3.667917,5.0661306,7.067683,316.49,-34.41,-22.91,-0.020228365,0.015969763,-0.008517207,23.0,4.625,-22.375,-3.8181999,5.1049,7.4519,0.0953,-0.0036,-0.175,34.124527,108.834654,90.0,0.1000,VIBRATE_MODE,Peace
-3.7732618,4.865018,7.2687964,316.9,-33.42,-23.09,-0.021293016,-0.0021293017,-0.018099064,23.5,6.25,-22.5,-3.8456,4.9667,7.5308,0.14199999,-0.0042999997,-0.24309999,34.124527,108.834654,92.0,0.0,VIBRATE_MODE,Peace
-3.86903,4.7022123,7.479486,317.52,-32.719997,-23.33,-0.029810224,0.0628144,0.017034413,23.625,5.6875,-21.9375,-3.8844,4.8677998,7.5751996,-0.1039,-0.1616,0.124699995,34.124527,108.834654,92.0,6.0,VIBRATE_MODE,Peace
-3.8881836,4.673482,7.479486,317.71,-32.239998,-23.59,0.010646508,-0.011711159,-0.007452556,23.9375,6.3125,-21.9375,-3.9246998,4.7946,7.6011,0.082899995,-0.0206,-0.0479,34.124527,108.834654,94.0,0.0,VIBRATE_MODE,Peace
-3.8498764,4.711789,7.441179,318.21,-32.64,-23.029999,0.010646508,0.017034413,-0.009581857,23.625,5.875,-21.9375,-3.8372,4.8684998,7.5987997,-0.032899998,-0.0642,0.023,34.124527,108.834654,94.0,0.0,VIBRATE_MODE,Peace
-3.8498764,4.6160207,7.5944076,318.38998,-31.74,-23.189999,-0.009581857,-0.005323254,-0.007452556,23.125,6.875,-21.9375,-3.8629,4.7429,7.665,0.0316,-0.057699997,0.036,34.124527,108.834654,94.0,0.0,VIBRATE_MODE,Peace
-3.5913026,4.8841715,7.4124484,317.87,-33.11,-22.38,-0.04045673,-0.0021293017,-0.006387905,23.5625,4.8125,-22.9375,-3.7347999,4.9537,7.5948,0.052199997,-0.0405,-0.1495,34.124527,108.834654,91.0,0.1000,VIBRATE_MODE,Peace
-3.6391866,4.8745947,7.52737,317.78998,-33.63,-21.73,-0.017034413,-0.009581857,-0.02555162,22.625,4.75,-22.5625,-3.6322,5.0462,7.5836997,-1.0E-4,-0.1025,-0.0208,34.124527,108.834654,54.0,0.0,VIBRATE_MODE,Peace
-3.514688,4.8937483,7.441179,319.07,-32.899998,-21.58,0.0010646508,-0.009581857,0.0042586033,22.625,5.75,-24.9375,-3.6076999,4.9535,7.6561,-0.0243,-0.0207,-0.043399997,34.124527,108.834654,54.0,0.0,VIBRATE_MODE,Peace
-3.6008794,4.7788267,7.5848308,319.22998,-32.67,-21.74,0.0031939526,-0.006387905,0.0,22.5,5.9375,-23.125,-3.6332,4.9174,7.6672997,-0.0089,-0.0635,-0.0053999997,34.124527,108.834654,54.0,0.0,VIBRATE_MODE,Peace
-2.0494366,8.1881695,4.2042184,352.00998,-64.979996,-11.599999,-0.1990897,-0.22357668,-0.21505947,7.0625,-16.5,-29.6875,-1.9724,8.7052,4.0618,-0.0907,-0.3543,0.1248,34.124527,108.834654,63.0,0.0,VIBRATE_MODE,Peace
2.7868507,6.9527617,4.9799395,284.13998,-59.289997,4.46,-0.48867473,1.4010805,1.2158313,18.6875,-24.625,-19.25,0.7637,8.406099,4.9923,1.5596,-1.3337,0.1174,34.124527,108.834654,35.0,1.1,VIBRATE_MODE,Peace
-15.763424,-5.056554,11.18571,34.66,-13.809999,-38.19,0.23848179,0.5259375,1.238189,6.75,8.75,-31.4375,-5.8441997,1.9444,7.6310997,-10.9258995,-7.2071,4.0313997,34.124527,108.834654,92.0,0.0,VIBRATE_MODE,Peace
-1.2449849,8.24563,7.5944076,288.99,-51.309998,8.66,0.64837235,-0.6558249,-1.7588031,19.5625,-19.1875,-23.125,1.4779999,7.5677,6.0592,-2.2547,0.8382,1.2892,34.124527,108.834654,85.0,0.0,VIBRATE_MODE,Peace
-0.22984336,7.0581064,3.8594532,291.22,-72.13,-0.51,-1.6534028,-1.1306592,-0.51848495,22.1875,-23.375,-17.0,-0.0887,9.3331995,3.0089,0.84279996,-1.3671,-0.394,34.124527,108.834654,91.0,0.0,VIBRATE_MODE,Peace
0.17238252,7.2592196,6.0716953,290.71,-51.39,3.22,0.08197811,0.02555162,-0.5078384,20.625,-17.8125,-23.9375,0.5514,7.6513,6.1092,-0.32909998,-0.3132,-0.0251,34.124527,108.834654,86.0,0.0,VIBRATE_MODE,Peace
-4.8267107,6.196194,6.157887,311.53998,-45.309998,-26.96,-0.20973621,0.34175292,-0.21612412,27.8125,-1.0,-22.125,-4.4466,6.2144,6.1463,-0.7841,-0.0212,-0.21869999,34.124527,108.834654,92.0,0.0,VIBRATE_MODE,Peace
-4.2042184,5.813122,6.7803793,311.87,-42.91,-28.09,-0.28106782,0.006387905,-0.070266955,28.5,1.25,-21.8125,-4.6424,5.9403,6.2713,0.3311,-0.054399997,0.1971,34.124527,108.834654,99.0,1.0,VIBRATE_MODE,Peace
-4.807557,5.449203,6.5601125,311.36,-41.309998,-30.109999,-0.045779984,-0.058555797,-0.023422318,28.25,2.875,-20.875,-4.9203997,5.6,6.3717,0.0174,-0.0711,0.2156,34.124527,108.834654,99.0,0.0,VIBRATE_MODE,Peace
-4.960786,6.0525417,5.4683566,308.43,-47.12,-30.779999,0.044715334,0.103271134,0.019163715,30.3125,0.3125,-19.75,-5.0197997,6.174,5.7317,0.0274,-0.059699997,-0.2306,34.124527,108.834654,94.0,1.2,VIBRATE_MODE,Peace
-4.261679,4.9224787,6.3111157,322.94998,-36.55,-25.01,-0.33110642,-0.93156946,-0.28852037,24.5,4.875,-25.1875,-4.2441,5.3626,7.0284996,-0.0721,-0.219,-0.649,34.124527,108.834654,63.0,0.0,VIBRATE_MODE,Peace
-5.257667,6.483498,3.9360676,306.47998,-54.57,-36.01,0.0021293017,0.034068827,0.0628144,30.875,0.5625,-14.4375,-5.7669,6.4635,4.5972,0.3929,0.0954,-0.69839996,34.124527,108.834654,100.0,0.0,VIBRATE_MODE,Peace
0.38307226,4.817134,8.303091,312.91998,-30.34,1.4,0.017034413,-0.006387905,0.04152138,15.0,1.0,-29.25,0.24069999,4.9522,8.460899,-0.0515,-0.029299999,0.1322,34.124527,108.834654,98.0,0.0,VIBRATE_MODE,Peace
0.22984336,5.0374002,8.264784,313.55,-31.55,1.9699999,-0.018099064,0.0010646508,-0.046844635,14.25,-0.5,-29.125,0.35079998,5.132,8.3492,0.055299997,-0.030399999,-0.12019999,34.124527,108.834654,97.0,0.0,VIBRATE_MODE,Peace
0.2681506,5.0661306,8.274361,313.71,-31.679998,1.88,0.006387905,-0.0031939526,-0.008517207,14.25,-1.9375,-29.0,0.3251,5.1479,8.3404,0.0219,-0.046099998,-0.0233,34.124527,108.834654,97.0,0.1000,VIBRATE_MODE,Peace
0.32561144,5.085284,8.322245,314.82,-31.74,2.03,0.0,0.007452556,0.0010646508,14.0,-0.625,-29.125,0.3484,5.1569,8.3338995,-0.0207,-0.0256,0.061499998,34.124527,108.834654,98.0,0.0,VIBRATE_MODE,Peace
0.33518824,5.00867,8.1881695,314.82,-31.65,1.93,0.009581857,-0.006387905,0.007452556,14.125,-1.1875,-28.75,0.33139998,5.1433997,8.342899,-0.0332,-0.031799998,-0.065,34.124527,108.834654,96.0,0.0,VIBRATE_MODE,Peace
0.2777274,5.104438,8.130709,314.82,-31.689999,1.86,0.015969763,0.013840461,-0.007452556,14.125,-1.5,-29.1875,0.3187,5.1496997,8.339499,0.0184,-0.0381,-0.100899994,34.124527,108.834654,97.0,0.0,VIBRATE_MODE,Peace
0.29688102,5.0757074,8.149862,314.82,-31.769999,1.8399999,0.022357667,-0.0021293017,-0.005323254,14.3125,-0.3125,-29.0,0.3164,5.1612997,8.332399,0.030499998,-0.0201,-0.0252,34.124527,108.834654,97.0,0.0,VIBRATE_MODE,Peace
0.38307226,5.056554,8.159439,314.82,-31.72,1.9,-0.006387905,0.0010646508,0.008517207,14.125,-0.9375,-29.0,0.3184,5.1535997,8.3371,-8.0E-4,-0.012499999,-0.0691,34.124527,108.834654,97.0,0.0,VIBRATE_MODE,Peace
0.39264908,5.0661306,8.255207,314.82,-31.64,1.89,-0.009581857,-0.020228365,0.013840461,14.0625,-1.9375,-29.0,0.31669998,5.146,8.3419,7.0E-4,-0.0442,-0.0444,34.124527,108.834654,98.0,1.0,VIBRATE_MODE,Peace
0.2681506,5.0661306,8.169016,314.82,-31.689999,1.9499999,0.006387905,0.005323254,-0.023422318,14.5,-1.8125,-29.3125,0.3338,5.1495,8.3391,0.0525,-0.047599997,-0.061199997,34.124527,108.834654,97.0,1.0,VIBRATE_MODE,Peace
0.2873042,5.0757074,8.130709,314.82,-31.71,1.9499999,0.005323254,-0.011711159,-0.014905112,13.9375,-1.375,-29.1875,0.3351,5.1517,8.3377,0.012,-0.0596,-0.108799994,34.124527,108.834654,96.0,0.0,VIBRATE_MODE,Peace
0.37349546,5.0278234,8.159439,314.81,-31.48,1.9399999,0.005323254,-0.007452556,0.010646508,14.9375,-0.75,-29.6875,0.3335,5.1180997,8.358399,-0.045199998,-0.0265,-0.0999,34.124527,108.834654,97.0,0.0,VIBRATE_MODE,Peace
0.25857377,5.056554,8.207323,314.81,-31.679998,1.9499999,-0.009581857,0.006387905,0.01277581,14.125,-1.0625,-28.5625,0.3348,5.1473,8.3404,-0.075899996,-0.045399997,-0.052699998,34.124527,108.834654,98.0,0.0,VIBRATE_MODE,Peace
0.34476504,5.1235914,8.2169,314.19998,-32.18,1.9,0.0010646508,0.021293016,0.010646508,14.375,-0.9375,-29.125,0.3275,5.2207,8.2949,0.0686,-0.069,-0.0176,34.124527,108.834654,97.0,0.0,VIBRATE_MODE,Peace
0.2873042,5.085284,8.169016,313.28998,-32.219997,1.23,0.005323254,0.0,-0.008517207,15.5,-2.0625,-28.875,0.212,5.2283998,8.293799,0.0748,-0.057,-0.0165,34.124527,108.834654,96.0,0.0,VIBRATE_MODE,Peace
0.2777274,5.161899,8.1402855,313.13,-32.48,1.36,-0.0031939526,-0.006387905,0.006387905,14.25,-1.5,-29.3125,0.22819999,5.2651,8.2701,-0.009699999,-0.0148,-0.0911,34.124527,108.834654,94.0,1.0,VIBRATE_MODE,Peace
0.2873042,5.171476,8.0924015,313.13998,-32.64,1.41,0.011711159,0.0,0.014905112,14.625,-2.375,-29.625,0.24159999,5.2876997,8.2553,-0.0426,-0.0077,0.0313,34.124527,108.834654,93.0,0.0,VIBRATE_MODE,Peace
3.1124623,4.2042184,8.360553,307.11,-29.449999,17.14,0.44289476,-0.5025152,-0.51529104,5.0,-2.625,-28.5,2.8902,4.6087,8.1594,0.6744,-0.3272,0.59679997,34.124527,108.834654,111.0,0.0,VIBRATE_MODE,Peace
3.169923,5.889736,5.104438,315.8,-38.329998,19.85,-0.21186551,0.26722735,0.13095206,0.3125,-5.875,-28.0625,3.3532999,5.7584996,7.1947,-0.3322,0.2331,-1.3625,34.124527,108.834654,111.0,0.0,VIBRATE_MODE,Peace
-1.1492168,4.357447,8.743625,30.84,-27.68,-7.7599998,0.010646508,-0.033004176,0.04045673,-21.625,28.6875,-21.875,-1.3247,4.515,8.604,0.0568,-0.1512,0.14209999,34.124365,108.834823,45.0,0.0,VIBRATE_MODE,Depressed
-1.5514427,3.964798,8.418014,30.3,-23.869999,-8.71,0.0,0.07771951,0.006387905,-21.3125,32.1875,-21.6875,-1.4861,3.9232,8.8639,0.0805,0.1548,0.13769999,34.124365,108.834823,47.0,0.0,VIBRATE_MODE,Depressed
-1.3694834,3.074155,8.896853,29.58,-20.48,-7.1,-0.09581858,-0.06600835,0.07346091,-21.375,34.5625,-22.625,-1.2132,3.4055,9.1159,-0.0936,-0.113,-0.20189999,34.124365,108.834823,52.0,1.1,VIBRATE_MODE,Depressed
0.8523358,2.777274,9.758766,36.23,-17.88,3.84,-0.21186551,-0.23848179,-0.01277581,-30.625,35.4375,-26.375,0.65709996,3.0040998,9.311999,0.1484,-0.19309999,0.22999999,34.124365,108.834823,72.0,0.0,VIBRATE_MODE,Depressed
-1.5227122,-0.4213795,9.940725,15.78,4.64,-7.5699997,-0.21293017,-0.017034413,-0.072396256,-18.1875,36.6875,-8.5625,-1.2972,-0.7446,9.6918,-0.24509999,0.1547,0.4001,34.124365,108.834823,155.0,0.0,VIBRATE_MODE,Depressed
-2.0973208,-0.46926352,9.873688,24.99,4.0499997,-11.05,0.09901253,0.16395622,0.16715018,-15.75,34.0,-7.875,-1.8798,-0.6807,9.600599,-0.262,0.6793,0.2263,34.124365,108.834823,191.0,0.0,VIBRATE_MODE,Depressed
0.2681506,0.0,9.720459,25.849998,-0.42999998,-0.71999997,0.0031939526,0.009581857,0.11178834,-19.125,31.125,-12.375,-0.124,0.0736,9.8055,0.33949998,0.49519998,0.0022,34.124365,108.834823,177.0,0.0,VIBRATE_MODE,Depressed
-0.095768064,-0.08619126,9.730036,33.39,0.26999998,-0.52,0.0,0.0021293017,-0.0010646508,-20.6875,30.75,-13.25,-0.089099996,-0.0464,9.8061,7.0E-4,-0.0222,-0.0668,34.124365,108.834823,146.0,0.0,VIBRATE_MODE,Depressed
-0.12449849,-0.05746084,9.768343,33.92,0.38,-0.62,-0.0010646508,0.0021293017,-0.0010646508,-20.9375,32.25,-12.8125,-0.1078,-0.0664,9.8057995,-2.9999999E-4,-0.031799998,-0.0099,34.124365,108.834823,148.0,1.2,VIBRATE_MODE,Depressed
-0.12449849,-0.08619126,9.720459,33.93,0.41,-0.65999997,-0.0021293017,0.0010646508,-0.0010646508,-20.8125,31.375,-12.4375,-0.1134,-0.0709,9.805699,-0.0049,-0.0276,0.029399998,34.124365,108.834823,148.0,0.0,VIBRATE_MODE,Depressed
-0.10534488,-0.08619126,9.739613,33.92,0.42,-0.61,0.0,0.0010646508,-0.0010646508,-20.6875,31.0625,-12.125,-0.1047,-0.0727,9.8057995,-0.0034999999,0.013499999,-0.0391,34.124365,108.834823,146.0,0.0,VIBRATE_MODE,Depressed
